Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,47.910000,47.919998,47.095001,47.810001,46.899277,111448000
2019-04-02,47.772499,48.615002,47.762501,48.505001,47.581043,91062800
2019-04-03,48.312500,49.125000,48.287498,48.837502,47.907207,93087200
2019-04-04,48.697498,49.092499,48.285000,48.922501,47.990585,76457200
2019-04-05,49.112499,49.275002,48.982498,49.250000,48.311844,74106400
2019-04-08,49.105000,50.057499,49.084999,50.025002,49.072079,103526800
2019-04-09,50.080002,50.712502,49.807499,49.875000,48.924942,143072800
2019-04-10,49.669998,50.185001,49.544998,50.154999,49.199608,86781200
2019-04-11,50.212502,50.250000,49.610001,49.737499,48.790058,83603200
2019-04-12,49.799999,50.035000,49.052502,49.717499,48.770443,111042800
2019-04-15,49.645000,49.962502,49.502499,49.807499,48.858723,70146400
2019-04-16,49.865002,50.342499,49.639999,49.812500,48.863628,102785600
2019-04-17,49.884998,50.845001,49.652500,50.782501,49.815155,115627200
2019-04-18,50.779999,51.037498,50.630001,50.965000,49.994179,96783200
2019-04-22,50.707500,51.235001,50.584999,51.132500,50.158489,77758000
2019-04-23,51.107498,51.937500,50.974998,51.869999,50.881939,93292000
2019-04-24,51.840000,52.119999,51.762501,51.790001,50.803463,70162400
2019-04-25,51.707500,51.939999,51.279999,51.320000,50.342419,74172800
2019-04-26,51.224998,51.250000,50.529999,51.075001,50.102085,74596400
2019-04-29,51.099998,51.492500,50.965000,51.152500,50.178104,88818800
2019-04-30,50.764999,50.849998,49.777500,50.167500,49.211864,186139600
2019-05-01,52.470001,53.827499,52.307499,52.630001,51.627460,259309200
2019-05-02,52.459999,53.162498,52.032501,52.287498,51.291485,127985200
2019-05-03,52.722500,52.959999,52.557499,52.937500,51.929108,83569600
2019-05-06,51.072498,52.209999,50.875000,52.119999,51.127178,129772400
2019-05-07,51.470001,51.855000,50.207500,50.715000,49.748940,155054800
2019-05-08,50.474998,51.334999,50.437500,50.724998,49.758747,105358000
2019-05-09,50.099998,50.419998,49.165001,50.180000,49.224133,139634400
2019-05-10,49.355000,49.712502,48.192501,49.294998,48.542206,164834800
2019-05-13,46.927502,47.369999,45.712502,46.430000,45.720963,229722400
2019-05-14,46.602501,47.424999,46.352501,47.165001,46.444736,146118800
2019-05-15,46.567501,47.937500,46.505001,47.730000,47.001102,106178800
2019-05-16,47.477501,48.117500,47.209999,47.520000,46.794319,132125600
2019-05-17,46.732498,47.724998,46.689999,47.250000,46.528439,131516400
2019-05-20,45.880001,46.087502,45.070000,45.772499,45.073498,154449200
2019-05-21,46.305000,47.000000,46.174999,46.650002,45.937603,113459200
2019-05-22,46.165001,46.427502,45.637501,45.695000,44.997185,118994400
2019-05-23,44.950001,45.134998,44.452499,44.915001,44.229099,146118800
2019-05-24,45.049999,45.535000,44.654999,44.742500,44.059231,94858800
2019-05-28,44.730000,45.147499,44.477501,44.557499,43.877056,111792800
2019-05-29,44.105000,44.837502,44.000000,44.345001,43.667801,113924800
2019-05-30,44.487499,44.807499,44.167500,44.575001,43.894287,84873600
2019-05-31,44.057499,44.497501,43.747501,43.767502,43.099117,108174400
2019-06-03,43.900002,44.480000,42.567501,43.325001,42.663376,161584400
2019-06-04,43.860001,44.957500,43.630001,44.910000,44.224174,123872000
2019-06-05,46.070000,46.247501,45.285000,45.634998,44.938099,119093600
2019-06-06,45.770000,46.367500,45.537498,46.305000,45.597866,90105200
2019-06-07,46.627499,47.980000,46.442501,47.537498,46.811550,122737600
2019-06-10,47.952499,48.842499,47.904999,48.145000,47.409767,104883600
2019-06-11,48.715000,49.000000,48.400002,48.702499,47.958752,107731600
2019-06-12,48.487499,48.992500,48.347500,48.547501,47.806126,73012800
2019-06-13,48.674999,49.197498,48.400002,48.537498,47.796272,86698400
2019-06-14,47.887501,48.397499,47.575001,48.185001,47.449154,75046000
2019-06-17,48.224998,48.740002,48.042500,48.472500,47.732269,58676400
2019-06-18,49.012501,50.072498,48.802502,49.612499,48.854858,106204000
2019-06-19,49.919998,49.970001,49.327499,49.467499,48.712070,84496800
2019-06-20,50.092499,50.152500,49.507500,49.865002,49.103500,86056000
2019-06-21,49.700001,50.212502,49.537498,49.695000,48.936092,191202400
2019-06-24,49.634998,50.040001,49.542500,49.645000,48.886864,72881600
2019-06-25,49.607498,49.814999,48.822498,48.892502,48.145855,84281200
2019-06-26,49.442501,50.247501,49.337502,49.950001,49.187206,104270000
2019-06-27,50.072498,50.392502,49.892502,49.935001,49.172436,83598800
2019-06-28,49.669998,49.875000,49.262501,49.480000,48.724384,124442400
2019-07-01,50.792500,51.122501,50.162498,50.387501,49.618027,109012000
2019-07-02,50.352501,50.782501,50.340000,50.682499,49.908512,67740800
2019-07-03,50.820000,51.110001,50.672501,51.102501,50.322102,45448000
2019-07-05,50.837502,51.270000,50.724998,51.057499,50.277790,69062000
2019-07-08,50.202499,50.349998,49.602501,50.005001,49.241360,101354400
2019-07-09,49.799999,50.377499,49.702499,50.310001,49.541714,82312000
2019-07-10,50.462502,50.932499,50.389999,50.807499,50.031612,71588400
2019-07-11,50.827499,51.097500,50.427502,50.437500,49.667259,80767200
2019-07-12,50.612499,51.000000,50.549999,50.825001,50.048847,70380800
2019-07-15,51.022499,51.467499,51.000000,51.302502,50.519051,67789600
2019-07-16,51.147499,51.527500,50.875000,51.125000,50.344257,67467200
2019-07-17,51.012501,51.272499,50.817501,50.837502,50.061153,56430000
2019-07-18,51.000000,51.470001,50.924999,51.415001,50.629833,74162400
2019-07-19,51.447498,51.625000,50.590000,50.647499,49.874054,83717200
2019-07-22,50.912498,51.807499,50.902500,51.805000,51.013874,89111600
2019-07-23,52.115002,52.227501,51.822498,52.209999,51.412689,73420800
2019-07-24,51.917500,52.287498,51.792500,52.167500,51.370850,59966400
2019-07-25,52.222500,52.310001,51.682499,51.755001,50.964642,55638400
2019-07-26,51.869999,52.432499,51.785000,51.935001,51.141891,70475600
2019-07-29,52.115002,52.660000,52.110001,52.419998,51.619480,86693600
2019-07-30,52.189999,52.540001,51.827499,52.195000,51.397919,135742800
2019-07-31,54.105000,55.342499,52.825001,53.259998,52.446659,277125600
2019-08-01,53.474998,54.507500,51.685001,52.107498,51.311756,216071600
2019-08-02,51.382500,51.607498,50.407501,51.005001,50.226093,163448400
2019-08-05,49.497501,49.662498,48.145000,48.334999,47.596859,209572000
2019-08-06,49.077499,49.517502,48.509998,49.250000,48.497894,143299200
2019-08-07,48.852501,49.889999,48.455002,49.759998,49.000103,133457600
2019-08-08,50.049999,50.882500,49.847500,50.857498,50.080845,108038000
2019-08-09,50.325001,50.689999,49.822498,50.247501,49.668159,98478800
2019-08-12,49.904999,50.512501,49.787498,50.119999,49.542126,89927600
2019-08-13,50.255001,53.035000,50.119999,52.242500,51.640156,188874000
2019-08-14,50.790001,51.610001,50.647499,50.687500,50.103088,146189600
2019-08-15,50.865002,51.285000,49.917500,50.435001,49.853500,108909600
2019-08-16,51.070000,51.790001,50.959999,51.625000,51.029778,110481600
2019-08-19,52.654999,53.182499,52.507500,52.587502,51.981182,97654400
2019-08-20,52.720001,53.337502,52.580002,52.590000,51.983654,107537200
2019-08-21,53.247501,53.412498,52.900002,53.160000,52.547081,86141600
2019-08-22,53.297501,53.610001,52.687500,53.115002,52.502598,89014800
2019-08-23,52.357498,53.012501,50.250000,50.660000,50.075905,187272000
2019-08-26,51.465000,51.797501,51.264999,51.622501,51.027306,104174400
2019-08-27,51.965000,52.137501,50.882500,51.040001,50.451519,103493200
2019-08-28,51.025002,51.430000,50.830002,51.382500,50.790073,63755200
2019-08-29,52.125000,52.330002,51.665001,52.252499,51.650040,83962000
2019-08-30,52.540001,52.612499,51.799999,52.185001,51.583324,84573600
